page_seq,house_seq,title,url,address,area_m2,bedrooms,en_suites,price,bathrooms,parking_spaces,type,street_name,street_number,condo_name,city
9,27,                LoteTerreno    a Venda 572m2            ,www.vivareal.com.br/imovel/lote-terreno-aldeia-da-serra-bairros-barueri-572m2-venda-RS740000-id-2482349918/,"                Alameda Campelo - Aldeia da Serra, Barueri - SP              ",572.0,,,740000,,,Lote,Alameda Campelo,,,Barueri  SP
9,28,                Casa de condominio com 4 Quartos a Venda 280m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-280m2-venda-RS1100000-id-86435182/,"                Alameda das Camélias - Aldeia da Serra, Santana de Parnaíba - SP              ",280.0,4.0,1.0,1100000,5,4.0,Casa,Alameda das Camélias,,,Santana de Parnaíba  SP
9,29,                Casa de condominio com 6 Quartos a Venda 410m2            ,www.vivareal.com.br/imovel/casa-de-condominio-6-quartos-aldeia-da-serra-bairros-barueri-com-garagem-410m2-venda-RS2650000-id-86434372/,"                Alameda Caraceres - Aldeia da Serra, Barueri - SP              ",410.0,6.0,2.0,2650000,6,8.0,Casa,Alameda Caraceres,,,Barueri  SP
9,30,                Casa de condominio com 5 Quartos a Venda 560m2            ,www.vivareal.com.br/imovel/casa-de-condominio-5-quartos-aldeia-da-serra-bairros-barueri-com-garagem-560m2-venda-RS2000000-id-86434185/,"                Alameda Procion - Aldeia da Serra, Barueri - SP              ",560.0,5.0,3.0,2000000,7,8.0,Casa,Alameda Procion,,,Barueri  SP
9,31,                Casa de condominio com 4 Quartos a Venda 385m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-385m2-venda-RS1500000-id-86434734/,"                Alameda das Perobas - Aldeia da Serra, Santana de Parnaíba - SP              ",385.0,4.0,2.0,1500000,4,8.0,Casa,Alameda das Perobas,,,Santana de Parnaíba  SP
9,32,                Casa de condominio com 3 Quartos a Venda 300m2            ,www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-300m2-venda-RS1350000-id-86434193/,"                Alameda dos Jataís - Aldeia da Serra, Santana de Parnaíba - SP              ",300.0,3.0,1.0,1350000,4,4.0,Casa,Alameda dos Jataís,,,Santana de Parnaíba  SP
9,33,                Casa de condominio com 4 Quartos a Venda 410m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-410m2-venda-RS1900000-id-86433649/,"                Alameda Canário - Aldeia da Serra, Barueri - SP              ",410.0,4.0,2.0,1900000,4,6.0,Casa,Alameda Canário,,,Barueri  SP
9,34,                Sobrado com 4 Quartos a Venda 250m2            ,www.vivareal.com.br/imovel/sobrado-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-250m2-venda-RS1250000-id-2463795816/,"                Alameda Beija-Flor, 1241 - Aldeia da Serra, Barueri - SP              ",250.0,4.0,2.0,1250000,4,4.0,Casa,Alameda BeijaFlor,1241.0,,Barueri  SP
9,35,                Casa de condominio com 4 Quartos a Venda 812m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-barueri-com-garagem-812m2-venda-RS4450000-id-2456644732/,"                Alameda Pintarroxo - Aldeia da Serra, Barueri - SP              ",812.0,4.0,4.0,4450000,5,10.0,Casa,Alameda Pintarroxo,,,Barueri  SP
10,0,                LoteTerreno    a Venda 574m2            ,www.vivareal.com.br/imovel/lote-terreno-aldeia-da-serra-bairros-barueri-574m2-venda-RS690000-id-2485253712/,"                Aldeia da Serra, Barueri - SP              ",574.0,,,690000,,,Lote,,,,Barueri  SP
10,1,                LoteTerreno    a Venda 738m2            ,www.vivareal.com.br/imovel/lote-terreno-aldeia-da-serra-bairros-barueri-738m2-venda-RS812230-id-2482352374/,"                Alameda Altair - Aldeia da Serra, Barueri - SP              ",738.0,,,812230,,,Lote,Alameda Altair,,,Barueri  SP
10,2,                Casa de condominio com 4 Quartos a VendaAluguel 360m2            ,www.vivareal.com.br/imovel/casa-de-condominio-4-quartos-aldeia-da-serra-bairros-santana-de-parnaiba-com-garagem-360m2-venda-RS1280000-id-1887355479/,"                Alameda dos Manacás - Aldeia da Serra, Santana de Parnaíba - SP              ",360.0,4.0,2.0,1280000,4,4.0,Casa,Alameda dos Manacás,,,Santana de Parnaíba  SP
